date,location,name,organization,type of death,url
"February 15, 2013","Dhaka, Bangladesh",Ahmed Rajib Haider,Freelance,Murder,https://cpj.org/data/people/ahmed-rajib-haider-1/index.php
"September 18, 2006","Ramadi, Iraq",Ahmed Riyadh al-Karbouli,Baghdad TV,Murder,https://cpj.org/data/people/ahmed-riyadh-al-karbouli/index.php
"September 13, 2008","Mosul, Iraq",Ahmed Salim,Al-Sharqiya,Murder,https://cpj.org/data/people/ahmed-salim/index.php
"October 28, 2003","Mosul, Iraq",Ahmed Shawkat,Bilah Ittijah,Murder,https://cpj.org/data/people/ahmed-shawkat/index.php
"June 28, 2005","Baghdad, Iraq",Ahmed Wael Bakri,Al-Sharqiyah,Crossfire,https://cpj.org/data/people/ahmed-wael-bakri/index.php
"October 21, 2016","Kirkuk, Iraq",Ahmet Haceroğlu,Türkmeneli TV,Crossfire,https://cpj.org/data/people/ahmet-haceroglu/index.php
"October 21, 1999","Ankara, Turkey",Ahmet Taner Kislali,Cumhuriyet,Murder,https://cpj.org/data/people/ahmet-taner-kislali/index.php
"May 31, 2004","Batticaloa, Sri Lanka",Aiyathurai Nadesan,Virakesari,Murder,https://cpj.org/data/people/aiyathurai-nadesan/index.php
"April 8, 2007","Helmand province, Afghanistan",Ajmal Naqshbandi,freelance,Murder,https://cpj.org/data/people/ajmal-nakshbandi/index.php
"July 9, 2013","Semender, Russia",Akhmednabi Akhmednabiyev,Novoye Delo,Murder,https://cpj.org/data/people/akhmednabi-akhmednabiyev/index.php
"December 12, 2012","Cairo, Egypt",Al-Hosseiny Abou Deif,El-Fagr,Murder,https://cpj.org/data/people/al-hosseiny-abou-deif/index.php
"May 4, 2014","Raqqa, Syria",Al-Moutaz Bellah Ibrahim,Shaam News Network,Murder,https://cpj.org/data/people/al-moutaz-bellah-ibrahim/index.php
"May 31, 2009","Mosul, Iraq",Alaa Abdel-Wahab,Al-Baghdadia TV,Crossfire,https://cpj.org/data/people/alaa-abdel-wahab/index.php
"January 29, 2008","Balad, Iraq",Alaa Abdul-Karim al-Fartoosi,Al-Forat,Crossfire,https://cpj.org/data/people/alaa-abdul-karim-al-fartoosi/index.php
